繁體	兼容格式	頁碼
富貴貧賤四個廟，甜酸苦辣五梗橋。	fu kuei bin zhi sy ghoq miau, di soe khu laq ng kan jiau.	345
富貴貧賤四個廟，甜酸苦辣五梗橋。	fu kuei bin zhi sy goq miau, di soe khu laq ng kuan jiau.	345
富貴貧賤四個廟，甜酸苦辣五梗橋。	fu kuei bin zhi sy ghoq miau, di soe khu laq ng kuan jiau.	345
關門喫飯壽昌寺。	kuae men chioq vae zhieu tshaon zy.	346
三日嘸飯喫，凸肚過江橋。	sae gniq mh vae chioq, daq du kou kaon jiau.	346
江心寺上棧，大校場趕賊。	kaon shin zy zaon dzae, dou kau jian ki-ke zaq.	346
江廈大先生，走路慢他他。	kaon gho dou shi san, tseu lu mae than than.	346
鄞慈鎮定奉南象，柴米油鹽茶醋醬。	gnin dzy tsyun din von nei-nae jian, za mi yeu yi dzo tshu cian.	346
鄞慈鎮定奉南象，柴米油鹽茶醋醬。	gnin dzy tsyun din von nei-nae zhian, za mi yeu yi dzo tshu cian.	346
灣頭田畈弗落空，拔出蘿蔔就種蔥。	uae deu di pae vaq loq khon, baq tshyuq lou boq jieu tson tshon.	346
灣頭田畈勿落空，拔出蘿蔔就種蔥。	uae deu di pae vaq loq khon, baq tshyuq lou boq jieu tson tshon.	346
十日三市黃古林，花蓆雙草白麻筋。	zyuq gniq sae zy waon ku lin, huo zhiq saon tshau baq mo cin.	346
東鄉十八隘，南鄉十八埭，西鄉十八𡍲。	ton shian zyuq paq ka, nei-nae shian zyuq paq da, shi shian zyuq paq taq.	346
做壽做九弗做十。	tsou zhieu tsou cieu vaq tsou zyuq.	346
做壽做九勿做十。	tsou zhieu tsou cieu vaq tsou zyuq.	346
三十弗可錯，四十弗可做。	sae zyuq vaq khou tshou, sy zyuq vaq khou tsou.	346
三十勿可錯，四十勿可做。	sae zyuq vaq khou tshou, sy zyuq vaq khou tsou.	346
請喫酒，掗拜生。	chin chioq cieu, o pa san,	346
長輩弗完婚，晚輩難成親。	cian pei vaq wun huen, vae pei nae jin chin,	346
長輩勿完婚，晚輩難成親。	cian pei vaq wun huen, vae pei nae jin chin,	346
男酒女茶，男借女順。	nei-nae cieu gniu dzo, nei-nae cia gniu zyun,	346
好女弗喫兩家茶。	hau gniu vaq chioq lian ko dzo.	346
好女勿喫兩家茶。	hau gniu vaq chioq lian ko dzo.	346
強盜弗進五女門。	jian dau vaq cin ng gniu men.	346
強盜勿進五女門。	jian dau vaq cin ng gniu men.	346
五月弗娶妻，六月弗孵雞。	ng yuq vaq tshyu chi, loq yuq vaq bu ci.	346
五月勿娶妻，六月勿孵雞。	ng yuq vaq tshyu chi, loq yuq vaq bu ci.	346
寧波姑娘坐花轎。	gnin pou ku gnian zou huo jiau.	347
寧波姑娘坐花轎。	gnin poq ku gnian zou huo jiau.	348
新婦三日嘸大小。	shin vu sae gniq mh dou shiau.	347
若要夫妻同到老，梁山伯廟到一到。	zhiaq iau fu chi don tau lau, lian sae paq miau tau iq tau.	347
若要夫妻同到老，梁山伯廟到一到。	zoq iau fu chi don tau lau, lian sae paq miau tau iq tau.	347
男人弗能進紅房。	nei-nae gnin vaq nen cin ghon vaon.	347
男人勿能進紅房。	nei-nae gnin vaq nen cin ghon vaon.	347
烏鼻頭管望外婆。	u baq deu kun maon nga bou,	347
小腳一雙，眼淚一缸。	shiau ciaq iq saon, ngae li iq kaon.	347
團蕩阿姆鬧花燈。	doe daon a m nau huo ten.	347
團蕩阿姆鬧花燈。	doe daon an m nau huo ten.	347
正月正，新新衣裳穿上身；	cin yuq cin, shin shin i zaon tshoe zaon shin,	347
二月二，菜羹菜飯煮露天。	gni yuq gni, tshe kan tshe vae tsy lu thi.	347
十五十六，除酒除肉。	zyuq ng zyuq loq, dzyu cieu dzyu gnioq.	347
三月三，踏沙灘。	sae yuq sae, daq so thae.	347
清明掃墓喫𩞁餈。	chin min sau mou chioq mo zy.	347
立夏稱人防疰夏。	liq gho chin gnin baon tsyu gho.	347
立夏喫隻蛋，氣力大一萬。	liq gho chioq tsaq dae, chi liq dou iq vae.	347
千補萬補，弗如立夏一補。	chi pu vae pu, vaq zyu liq gho iq pu.	347
千補萬補，勿如立夏一補。	chi pu vae pu, vaq zyu liq gho iq pu.	347
癩𪓿避端午。	la sy bi ton ng.	347
雄黃燒酒解百毒。	yon waon shiau cieu ka paq doq.	347
糉子搵白糖，香袋掛胸膛。	tson tsy uen baq daon, shian de kuo shion daon.	347
六月六，黃狗貓滰肉。	loq yuq loq, waon keu mae jian gnioq.	348
六月六，黃狗貓滰肉。	loq yuq loq, waon ki-ke mae jian gnioq.	348
六月六，黃狗貓滰肉。	loq yuq loq, wu keu mae jian gnioq.	348
六月六，黃狗貓滰肉。	loq yuq loq, wu ki-ke mae jian gnioq.	348
立秋西瓜拔拔秋。	liq chieu shi kuo baq baq chieu.	348
立秋西瓜祓祓秋。	liq chieu shi kuo baq baq chieu.	348
八月十六度中秋。	paq yuq zyuq loq du tson chieu.	348
鴨肉骨頭水搨糕，八月十六等弗到。	aq gnioq kuaq deu syu thaq kau, paq yuq zyuq loq ten vaq tau.	348
鴨肉骨頭水搨糕，八月十六等勿到。	aq gnioq kuaq deu syu thaq kau, paq yuq zyuq loq ten vaq tau.	348
十月芋艿爊雞娘。	zyuq yuq n na au ci gnian.	348
冬至大如年。	ton tsy dou zyu gni.	348
儇儇個，明朝撥儂喫祭竈果。	huae huae kou, min ciau paq nou chioq ci tsau kou.	348
儇儇個，明朝撥儂喫祭竈果。	huae huae kou, mi ciau paq nou chioq ci tsau kou.	348
儇儇個，明朝撥儂喫祭竈果。	huae huae kou, men ciau paq nou chioq ci tsau kou.	348
儇儇個，明朝撥儂喫祭竈果。	huae huae kou, mon ciau paq nou chioq ci tsau kou.	348
儇儇個，明朝撥爾喫祭竈果。	huae huae kou, min ciau paq ng chioq ci tsau kou.	348
儇儇個，明朝撥爾喫祭竈果。	huae huae kou, mi ciau paq ng chioq ci tsau kou.	348
儇儇個，明朝撥爾喫祭竈果。	huae huae kou, men ciau paq ng chioq ci tsau kou.	348
儇儇個，明朝撥爾喫祭竈果。	huae huae kou, mon ciau paq ng chioq ci tsau kou.	348
儇儇個，明朝撥爾喫祭竈果。	huae huae kou, min ciau pen chioq ci tsau kou.	348
儇儇個，明朝撥爾喫祭竈果。	huae huae kou, mi ciau pen chioq ci tsau kou.	348
儇儇個，明朝撥爾喫祭竈果。	huae huae kou, men ciau pen chioq ci tsau kou.	348
儇儇個，明朝撥爾喫祭竈果。	huae huae kou, mon ciau pen chioq ci tsau kou.	348
會會七月七，喫喫年夜飯。	wei wei chiq yuq chiq, chioq chioq gni ya vae.	348
年糕年糕年年高，一年更比一年好。	gni kau gni kau gni gni kau, iq gni ken pi iq gni hau.	348
出門喜鵲噪，必有喜事到。	tshyuq men shi chiaq tshau, piq yeu shi zy tau.	348
烏鴉當頭叫，禍祟免弗掉。	u ia taon deu ciau, ghou sei mi vaq diau.	348
烏鴉當頭叫，禍祟免勿掉。	u ia taon deu ciau, ghou sei mi vaq diau.	348
蜘蛛宕落來，人客就要來。	tsyu tsyu dan loq le, gnin khaq jieu iau le.	348
燈頭爆燈花，有客來我家。	ten deu pau ten huo, yeu khaq le ngo ko.	348
竈洞紅紅響，人客到門牆。	tsau don ghon ghon shian, gnin khaq tau men zhian.	348
杯筷多放，有客來訪。	pei khuae tou faon, yeu khaq le faon.	348
左眼跳財，右眼跳災。	tsou ngae thiau dze, yeu ngae thiau tse.	348
眉毛別別跳，弗是打就是吊。	mi mau biq biq thiau, vaq zy tan jieu zy tiau.	348
眉毛別別跳，勿是打就是吊。	mi mau biq biq thiau, vaq zy tan jieu zy tiau.	348
耳朵癢，弗是傳就是𧮙。	gni to yan, vaq zy dzoe jieu zy zoq.	348
耳朵癢，勿是傳就是𧮙。	gni to yan, vaq zy dzoe jieu zy zoq.	348
耳朵癢，弗是傳就是𧮙。	ng to yan, vaq zy dzoe jieu zy zoq.	348
耳朵癢，勿是傳就是𧮙。	ng to yan, vaq zy dzoe jieu zy zoq.	348
一打噴嚏，有人在傳。	iq tan phen thi, yeu gnin dze dzoe.	348
一個傳，兩個罵，三個感冒好甮話。	iq goq dzoe, lian goq mo, sae goq ki-ke mau hau ven wo.	348
一個傳，兩個罵，三個感冒好甮話。	iq ghoq dzoe, lian ghoq mo, sae ghoq ki-ke mau hau ven wo.	348
出門遇紅沙，到老弗回家。	tshyuq men gniu ghon so, tau lau vaq wei ko.	348
出門遇紅沙，到老勿回家。	tshyuq men gniu ghon so, tau lau vaq wei ko.	348
七七敲，八八唸。	chiq chiq khau, paq paq ne-gnie.	348
燒香要燒三寶地，好事要做眼面前。	shiau shian iau shiau sae pau di, hau zy iau tsou ngae mi zhi.	348
喫三觀菜保自身。	chioq sae kun tshe pau zy shin.	348
當方土地當方靈。	taon faon thu di taon faon lin.	349
靈峯關牒處處通。	lin fon kuae diaq tshyu tshyu thon.	349
四月種田落洋山。	sy yuq tson di loq yan sae.	349
割稻客，喫雨飯。	kaq dau khaq, chioq yu vae.	349
有人拜我生，銀子一千兩。	yeu gnin pa ngo san, gnin tsy iq chi lian.	349
公修公德，婆修婆德，自修自德。	kon shieu kon taq, bou shieu bou taq, zhi shieu zhi taq.	349
與其遠處燒香，弗如近處作福。	yu ji yu tshyu shiau shian, vaq zyu jin tshyu tsoq foq.	349
與其遠處燒香，勿如近處作福。	yu ji yu tshyu shiau shian, vaq zyu jin tshyu tsoq foq.	349
施庵三隻，弗如築路三尺。	sy ei-e sae tsaq, vaq zyu tsoq lu sae tshaq.	349
施庵三隻，勿如築路三尺。	sy ei-e sae tsaq, vaq zyu tsoq lu sae tshaq.	349
唸佛唸一世，弗如過橋石板鋪一記。	ne-gnie vaq ne-gnie iq shi, vaq zyu kou jiau zaq pae phu iq ci.	349
唸佛唸一世，勿如過橋石板鋪一記。	ne-gnie vaq ne-gnie iq shi, vaq zyu kou jiau zaq pae phu iq ci.	349
出錢有功德，好甮拜菩薩。	tshyuq ji yeu kon taq, hau ven pa bu saq.	349
心好強如喫齋。	shin hau jian zyu chioq tsa.	349
將心比心，就是佛心。	cian shin pi shin, jieu zy vaq shin.	349
有錢難買六月雪，作惡空燒萬炷香。	yeu ji nae ma loq yuq syuq, tsoq oq khon shiau vae tsyu shian.	349
有錢難買六月雪，作惡空燒萬炷香。	yeu ji nae ma loq yuq syuq, tsoq oq khon shiau vae dzyu shian.	349
老大鴻壽京班，摝摝動生三。	lau da ghon zhieu cin pae, lhoq lhoq don sen sae.	349
南詞唱畫堂，走書下農莊，評書進茶坊。	nei-nae dzy tshaon wo daon, tseu syu gho non tsaon, bin syu cin dzo faon.	349
灘簧小戲演十出，十個寡婦九改節。	thae waon shiau shi yi zyuq tshyuq, zyuq goq kuo vu cieu ke ciq.	349
灘簧小戲演十出，十個寡婦九改節。	thae waon shiau shi yi zyuq tshyuq, zyuq ghoq kuo vu cieu ke ciq.	349
犯關犯關真犯關，阿拉孃舅名叫豬頭三。	vae kuae vae kuae cin vae kuae, aq laq gnian jieu min ciau tsyu deu sae.	349
癩頭哥摸螄螺，蕩頭螄螺多又多。	la deu kou moq sy lou, daon deu sy lou tou yeu tou.	350
天要落雨娘要嫁。	thi iau loq yu gnian iau ko.	350
關節弗到，只有閻羅老包。	kuae ciq vaq tau, ciq yeu gni lou lau pau.	350
關節勿到，只有閻羅老包。	kuae ciq vaq tau, ciq yeu gni lou lau pau.	350
三本鐵公雞，刀槍磨磨其。	sae pen thiq kon ci, tau chian mou mou ji.	350
柳隆卿怕太平。	lieu lon chin pho tha bin.	350
章浦足起屋，陸文祿享福。	tsaon phu tsoq chi oq, loq ven loq shian foq.	350
蔡伯喈逐日挨。	tsha paq cie dzoq gniq a.	350
一口咬煞皇甫吟，半路越出程咬金。	iq kheu ngau saq waon fu gnin, pun lu yuq tshyuq jin ngau cin.	350
程咬金三斧頭。	jin ngau cin sae fu deu.	350
薛仁貴出力，張士貴得功。	shiq zyun kuei tshyuq liq, cian zy kuei taq kon.	350
喫喫劉備飯，做做曹操事。	chioq chioq lieu bei vae, tsou tsou dzau tshau zy.	350
孫權招親，弄假成真。	sen jiu ciau chin, lon ko jin cin.	350
老酒要喫，荊州要取。	lau cieu iau chioq, cin cieu iau tshyu.	350
弗怕黑李逵，只怕哭劉備。	vaq pho haq li guei, ciq pho khoq lieu bei.	350
勿怕黑李逵，只怕哭劉備。	vaq pho haq li guei, ciq pho khoq lieu bei.	350
周倉嘸計較，一世揹大刀。	cieu tshaon mh ci kau, iq shi pei dou tau.	350
火燒連營寨，劉備𤈦煞快。	hou shiau li yin za, lieu bei mei saq khua.	350
火燒連營寨，劉備煝煞快。	hou shiau li yin za, lieu bei mei saq khua.	350
文章弗嫌百回改，好戲要靠十年磨。	ven tsaon vaq i paq wei ke, hau shi iau khau zyuq gni mou.	350
文章勿嫌百回改，好戲要靠十年磨。	ven tsaon vaq i paq wei ke, hau shi iau khau zyuq gni mou.	350
戲文假，情節真。	shi ven ko, jin ciq cin.	350
弗像弗成戲，真像弗成藝。	vaq zhian vaq jin shi, cin zhian vaq jin gni.	350
勿像勿成戲，真像勿成藝。	vaq zhian vaq jin shi, cin zhian vaq jin gni.	350
臺上一分鐘，臺下十年功。	de zaon iq fen tson, de gho zyuq gni kon.	350
一日弗練，自家曉得；兩日弗練，師傅曉得；三日弗練，觀衆曉得。	iq gniq vaq li, zhi ko shiau taq; lian gniq vaq li, sy fu shiau taq; sae gniq vaq li, kun tson shiau taq.	350
一日勿練，自家曉得；兩日勿練，師傅曉得；三日勿練，觀衆曉得。	iq gniq vaq li, zhi ko shiau taq; lian gniq vaq li, sy fu shiau taq; sae gniq vaq li, kun tson shiau taq.	350
拳弗離手，曲弗離口。	jiu vaq li shieu, chiuq vaq li kheu.	350
拳勿離手，曲勿離口。	jiu vaq li shieu, chiuq vaq li kheu.	350
道路弗走草成窠，山歌弗唱忘記多。	dau lu vaq tseu tshau jin khou, sae kou vaq tshaon maon ci tou.	350
道路勿走草成窠，山歌勿唱忘記多。	dau lu vaq tseu tshau jin khou, sae kou vaq tshaon maon ci tou.	350
冬練三九，夏練三伏。	ton li sae cieu, gho li sae voq.	350
七分鑼鼓，三分清唱。	chiq fen lou ku, sae fen chin tshaon.	351
煞清爽，梅蘭芳。	saq chin saon, mei lae faon.	351
看戲呆子，做戲癲子，編戲才子。	khi-khe shi nge tsy, tsou shi ti tsy, pi shi dze tsy.	351
上臺還是落臺難。	zaon de wa zy loq de nae.	351
上臺還是落臺難。	zaon de gha zy loq de nae.	351
一藝弗精，要誤終身。	iq gni vaq cin, iau nu tson shin.	351
一藝弗精，要誤終身。	iq gni vaq cin, iau wu tson shin.	351
一藝勿精，要誤終身。	iq gni vaq cin, iau nu tson shin.	351
一藝勿精，要誤終身。	iq gni vaq cin, iau wu tson shin.	351
破帳蚊蟲多，破戲鑼鼓多。	phou cian men dzon tou, phou shi lou ku tou.	351
銅鑼響，腳底癢。	don lou shian, ciaq ti yan.	351
長看戲，矮喫屁。	jian khi-khe shi, a chioq phi.	351
千日琵琶，百日琴。	chi gniq bi bo, paq gniq jin.	351
千日胡琴百日簫，鑼鼓鈸子日日敲。	chi gniq wu jin paq gniq shiau, lou ku baq tsy gniq gniq khau.	351
討飯胡琴隔壁聽。	thau vae wu jin kaq piq thin.	351
鳳簫兩頭空，會響一半功。	von shiau lian deu khon, wei shian iq pun kon.	351
家和萬事興，家亂賊走進。	cia ghou vae zy shin, cia loe zaq tseu cin.	351
家弗和撥人欺，鄰弗和撥賊欺。	cia vaq ghou paq gnin chi, lin vaq ghou paq zaq chi.	351
家勿和撥人欺，鄰勿和撥賊欺。	cia vaq ghou paq gnin chi, lin vaq ghou paq zaq chi.	351
一家弗知一家事，和尚弗知道家事。	iq cia vaq tsyu iq cia zy, ghou zaon vaq tsyu dau cia zy.	351
一家勿知一家事，和尚勿知道家事。	iq cia vaq tsyu iq cia zy, ghou zaon vaq tsyu dau cia zy.	351
當家三年，黃狗貓也要招怪。	taon ko sae gni, waon keu mae gha iau ciau kua.	351
當家三年，黃狗貓也要招怪。	taon ko sae gni, waon ki-ke mae gha iau ciau kua.	351
當家三年，黃狗貓也要招怪。	taon ko sae gni, wu keu mae gha iau ciau kua.	351
當家三年，黃狗貓也要招怪。	taon ko sae gni, wu ki-ke mae gha iau ciau kua.	351
當家三年，黃狗貓也要招怪。	taon ko sae gni, waon keu mae ya iau ciau kua.	351
當家三年，黃狗貓也要招怪。	taon ko sae gni, waon ki-ke mae ya iau ciau kua.	351
當家三年，黃狗貓也要招怪。	taon ko sae gni, wu keu mae ya iau ciau kua.	351
當家三年，黃狗貓也要招怪。	taon ko sae gni, wu ki-ke mae ya iau ciau kua.	351
若要好，大做小。	zhiaq iau hau, dou tsou shiau.	351
若要好，大做小。	zoq iau hau, dou tsou shiau.	351
好男弗喫分開飯，好女弗穿嫁時衣。	hau nei-nae vaq chioq fen khe vae, hau gniu vaq tshoe ko zy i.	351
好男勿喫分開飯，好女勿穿嫁時衣。	hau nei-nae vaq chioq fen khe vae, hau gniu vaq tshoe ko zy i.	351
樹大分杈，人多分家。	zyu dou fen tsho, gnin tou fen ko.	352
袋隔袋，皮隔皮；一代鮮，一代蔫。	de kaq de, bi kaq bi; iq de shi, iq de i.	352
做爹像爹，做孃像孃。	tsou tia zhian tia, tsou gnian zhian gnian.	352
種田要好秧，養兒要好孃。	tson di iau hau ian, ian er iau hau gnian.	352
狗弗嫌家貧，兒弗嫌孃醜。	keu vaq i cia bin, er vaq i gnian chieu.	352
狗勿嫌家貧，兒勿嫌孃醜。	keu vaq i cia bin, er vaq i gnian chieu.	352
兒行千里孃擔憂。	er yin chi li gnian tae ieu.	352
阿爹做人，褲腳縛繩。	aq tia tsou gnin, khu ciaq bou zhin.	352
傳子千金，弗如傳子一藝。	dzoe tsy chi cin, vaq zyu dzoe tsy iq gni.	352
傳子千金，勿如傳子一藝。	dzoe tsy chi cin, vaq zyu dzoe tsy iq gni.	352
好幫好底做好鞋，好爹好孃教好子。	hau paon hau ti tsou hau gha, hau tia hau gnian kau hau tsy.	352
教子有方，門庭興旺；教子無方，家計蕩光。	ciau tsy yeu faon, men din shin waon; ciau tsy vu faon, ko ci daon kuaon.	352
教子有方，門庭興旺；教子無方，家計蕩光。	ciau tsy yeu faon, men din shin waon; ciau tsy wu- faon, ko ci daon kuaon.	352
爹孃團圓兒孫福。	tia gnian doe yu er sen foq.	352
孃勤囡弗懶，爹懶子好閒。	gnian jin noe vaq lae, tia lae tsy hau ghae.	352
孃勤囡勿懶，爹懶子好閒。	gnian jin noe vaq lae, tia lae tsy hau ghae.	352
寧要討飯孃，弗要做官爹。	gnin iau thau vae gnian, vaq iau tsou kun tia.	352
寧要討飯孃，勿要做官爹。	gnin iau thau vae gnian, vaq iau tsou kun tia.	352
寧可死做官爹，弗可死討飯孃。	nen khou shi tsou kun tia, vaq khou shi thau vae gnian.	352
寧可死做官爹，勿可死討飯孃。	nen khou shi tsou kun tia, vaq khou shi thau vae gnian.	352
天要落雨娘要嫁，大兒大囡也弗怕。	thi iau loq yu gnian iau ko, dou er dou noe gha vaq pho.	352
天要落雨娘要嫁，大兒大囡也弗怕。	thi iau loq yu gnian iau ko, dou er dou noe ya vaq pho.	352
天要落雨娘要嫁，大兒大囡也勿怕。	thi iau loq yu gnian iau ko, dou er dou noe gha vaq pho.	352
天要落雨娘要嫁，大兒大囡也勿怕。	thi iau loq yu gnian iau ko, dou er dou noe ya vaq pho.	352
六月日頭，晚孃拳頭。	loq yuq gniq deu, mae gnian jiu deu.	352
老婆香，忘記孃。	lau bou shian, maon ci gnian.	352
喫奶弗如摸奶親。	chioq na vaq zyu moq na chin.	352
喫奶勿如摸奶親。	chioq na vaq zyu moq na chin.	352
大海洋洋，忘記爹孃。	da he yan yan, maon ci tia gnian.	352
父母愛少子，富貴養嬌兒。	vu meu e shiau tsy, fu ciu ian ciau er.	352
男人無妻家無主，女人無夫家無樑。	nei-nae gnin vu chi cia vu tsyu, gniu gnin vu fu cia vu lian.	352
男人無妻家無主，女人無夫家無樑。	nei-nae gnin wu- chi cia wu- tsyu, gniu gnin wu- fu cia wu- lian.	352
家有賢妻，弗招橫禍。	cia yeu yi chi, vaq ciau wan ghou.	353
家有賢妻，勿招橫禍。	cia yeu yi chi, vaq ciau wan ghou.	353
秧好一年穀，妻賢一生福。	ian hau iq gni koq, chi yi iq san foq.	353
天亮飽一日飽，老婆擡着一世好。	thiq gnian pau iq gniq pau, lau bou de dzoq iq shi hau.	353
天亮飽一日飽，老婆擡着一世好。	thi gnian pau iq gniq pau, lau bou de dzoq iq shi hau.	353
天亮飽一日飽，老婆擡着一世好。	thiq gnian pau iq gniq pau, lau bou de zoq iq shi hau.	353
天亮飽一日飽，老婆擡着一世好。	thi gnian pau iq gniq pau, lau bou de zoq iq shi hau.	353
生意做弗着一遭，老婆擡弗着一世。	san i tsou vaq dzoq iq tsau, lau bou de vaq dzoq iq shi.	353
生意做弗着一遭，老婆擡弗着一世。	san i tsou vaq zoq iq tsau, lau bou de vaq zoq iq shi.	353
生意做勿着一遭，老婆擡勿着一世。	san i tsou vaq dzoq iq tsau, lau bou de vaq dzoq iq shi.	353
生意做勿着一遭，老婆擡勿着一世。	san i tsou vaq zoq iq tsau, lau bou de vaq zoq iq shi.	353
老婆擡弗着，一世苦弗出。	lau bou de vaq dzoq, iq shi khu vaq tshyuq.	353
老婆擡弗着，一世苦弗出。	lau bou de vaq zoq, iq shi khu vaq tshyuq.	353
老婆擡勿着，一世苦勿出。	lau bou de vaq dzoq, iq shi khu vaq tshyuq.	353
老婆擡勿着，一世苦勿出。	lau bou de vaq zoq, iq shi khu vaq tshyuq.	353
竈口地康看老婆，越看越動火。	tsau kheu di khaon khi-khe lau bou, yuq khi-khe yuq don hou.	353
男怕入錯行，女怕嫁錯郎。	nei-nae pho zyuq tshou ghaon, gniu pho ko tshou laon.	353
只要老公好，苦苦也嘸告。	ciq iau lau kon hau, khu khu gha mh kau.	353
只要老公好，苦苦也嘸告。	ciq iau lau kon hau, khu khu ya mh kau.	353
弗怕家當空，只要有個好老公。	vaq pho ko taon khon, ciq iau yeu goq hau lau kon.	353
弗怕家當空，只要有個好老公。	vaq pho ko taon khon, ciq iau yeu ghoq hau lau kon.	353
勿怕家當空，只要有個好老公。	vaq pho ko taon khon, ciq iau yeu goq hau lau kon.	353
勿怕家當空，只要有個好老公。	vaq pho ko taon khon, ciq iau yeu ghoq hau lau kon.	353
一夜夫妻百夜恩，百夜夫妻海洋深。	iq ya fu chi paq ya en, paq ya fu chi he yan shin.	353
少年夫妻甜如蜜，老年夫妻恩如漆。	shiau gni fu chi di zyu miq, lau gni fu chi en zyu chiq.	353
家常便飯粗布衣，知冷知暖是夫妻。	ko dzaon bi vae tshu pu i, tsyu lan tsyu noe zy fu chi.	353
好甮看我妻，只要看我身上衣。	hau ven khi-khe ngo chi, ciq iau khi-khe ngo shin zaon i.	353
兒子越大越分開，夫妻越老越恩愛。	ng tsy yuq dou yuq fen khe, fu chi yuq lau yuq en e.	353
患難夫妻恩愛多。	wae nae fu chi en e tou.	353
夫妻恩愛，討飯應該；一個挈籃，一個繃袋。	fu chi en e, thau vae in ke; iq goq chiq lae, iq goq pan de.	353
夫妻恩愛，討飯應該；一個挈籃，一個繃袋。	fu chi en e, thau vae in ke; iq ghoq chiq lae, iq ghoq pan de.	353
喫勒好，穿勒好，弗如夫妻同到老。	chioq laq hau, tshoe laq hau, vaq zyu fu chi don tau lau.	353
喫勒好，穿勒好，勿如夫妻同到老。	chioq laq hau, tshoe laq hau, vaq zyu fu chi don tau lau.	353
夫妻和，萬事妥。	fu chi ghou, vae zy thou.	353
夫妻和睦家業興，夫妻弗和睏弗寧。	fu chi ghou moq ko gniq shin, fu chi vaq ghou khuen vaq gnin.	353
夫妻和睦家業興，夫妻勿和睏勿寧。	fu chi ghou moq ko gniq shin, fu chi vaq ghou khuen vaq gnin.	353
捆綁弗成夫妻。	khuen paon vaq jin fu chi.	353
捆綁勿成夫妻。	khuen paon vaq jin fu chi.	353
