繁體	简体	吴拼	原书转写吴拼	页码
了藤瓜	了藤瓜	liau den kuo	liau den kuo	8
乃該	乃该	nae ke	nae ke	8
乃遭	乃遭	nae tsau	nae tsau	8
刀	刀	tau3	tau3	8
刀籠𥳖	刀笼𥳖	tau lon bu	tau lon bu	8
力道	力道	liq dau	liq dau	9
三千	三千	sae chi	sae chi	9
到地	到地	tau di	tau di	9
三色	三色	sae saq	sae saq	9
三酉	三酉	sae yeu	sae yeu	9
三不時	三不时	sae paq zy	sae paq zy	9
三隻手	三只手	sae tsaq shieu	sae tsaq shieu	9
三嚇頭	三吓头	sae haq deu	sae haq deu	9
三腳貓	三脚猫	sae ciaq mae	sae ciq mae	9
三十年夜	三十年夜	sae zyuq gni ya	sae zoq gni ya	10
三十年夜	三十年夜	sae syuq gni ya	sae soq gni ya	10
大年夜	大年夜	dou gni ya	dou gni ya	10
三八兩時	三八两时	sae paq lian zy	sae paq lian zy	10
三日兩頭	三日两头	sae gniq lian deu	sae gniq lian deu	10
三兄四弟	三兄四弟	sae shion sy di	sae shion sy di	10
三對六面	三对六面	sae tei loq mi	sae tei loq mi	10
三頭六面	三头六面	sae deu loq mi	sae deu loq mi	10
三話兩句	三话两句	sae wo lian ciu	sae wo lian ciu	10
三搭六橋	三搭六桥	sae taq loq jiau	sae taq loq jiau	10
三翻四覆	三翻四覆	sae fae sy foq	sae fae sy foq	10
乾剝剝	干剥剥	ki poq poq	ki poq poq	10
乾薑癟棗	干姜瘪枣	ki cian piq tsau	ki cian piq tsau	10
乾燥雄雞	干燥雄鸡	ki sau yon ci	ki sau yon ci	11
虧殺	亏杀	chiu saq	chiu saq	11
土笥	土笥	thu sy	thu sy	11
土箕	土箕	thu ci	thu ci	11
土鯆魚	土鯆鱼	thu bu ng	thu bu ng	11
工鈿	工钿	kon di	kon di	11
下	下	gho6	gho6	11
下	下	o5	o5	11
下日	下日	gho gniq	gho gniq	11
下頃	下顷	gho chian	gho chian	11
下飯	下饭	gho vae	gho vae	12
下底	下底	gho ti	gho ti	12
下頭	下头	gho deu	gho deu	12
下頂	下顶	gho ten	gho ten	12
下顧	下顾	gho ku	gho ku	12
下落	下落	gho loq	gho loq	12
下遭	下遭	gho tsau	gho tsau	12
下網	下网	gho maon	gho maon	12
下回	下回	gho wei	gho wei	12
下八腳	下八脚	gho paq ciaq	gho paq ciq	12
下巴兜	下巴兜	gho bo teu	gho bo teu	12
下巴涎	下巴涎	gho bo zae	gho bo zae	12
下半日	下半日	gho pun gniq	gho pu gniq	12
下兩遭	下两遭	gho lian tsau	gho lian tsau	12
下兩回	下两回	gho lian wei	gho lian wei	12
下兩網	下两网	gho lian maon	gho lian maon	12
下點心	下点心	gho ti shin	gho ti shin	13
下點心	下点心	gho te shin	gho te shin	13
下作坯子	下作坯子	gho tsoq phei tsy	gho tsoq phei tsy	13
下作貨	下作货	gho tsoq hou	gho tsoq hou	13
寸金糖	寸金糖	tshen cin daon	tshen cin daon	13
丈人	丈人	jian gnin	jian gnin	13
丈人老頭	丈人老头	jian gnin lau deu	jian gnin lau deu	13
丈人阿爸	丈人阿爸	jian gnin aq paq	jian gnin aq paq	13
丈板	丈板	jian pae	jian pae	13
丈姆	丈姆	jian m	jian m	13
丈姆孃	丈姆娘	jian m gnian	jian m gnian	13
大氣	大气	dou chi	dou chi	13
大米	大米	dou mi	dou mi	13
大身	大身	da shin	da shin	13
大佛	大佛	dou baq	dou baq	13
大尿	大尿	dou syu	dou syu	13
大面	大面	dou mi	dou mi	14
大度	大度	da du	da du	14
大衲	大衲	dou naq	dou naq	14
大家	大家	doq ko	doq ko	14
大家	大家	do ko	do ko	14
大做	大做	dou tsou	dou tsou	14
大猛	大猛	doq man	doq man	14
大帽	大帽	dou mau	dou mau	14
大道	大道	da dau	da dau	14
大箌	大箌	dou dau	dou dau	14
大糊	大糊	dou wu	dou wu	14
大糊病	大糊病	dou wu bin	dou wu bin	14
大糠	大糠	dou khaon	dou khaon	14
大火輪	大火轮	dou hou len	dou hou len	14
火輪船	火轮船	hou len zoe	hou len zoe	14
大隻小	大只小	dou tsaq shiau	dou tsaq shiau	15
大舌頭	大舌头	dou zhiq deu	dou zhiq deu	15
大好老	大好老	dou hau lau	dou hau lau	15
大多數	大多数	da tou su	da tou su	15
大約目	大约目	da iaq moq	da iq moq	15
大蘇籃	大苏篮	dou su lae	dou su lae	15
大肚皮	大肚皮	dou du bi	dou du bi	15
大卵袋	大卵袋	dou loe de	dou loe de	15
大阿福	大阿福	dou aq foq	dou aq foq	15
大姑娘	大姑娘	dou ku gnian	dou ku gnian	15
大侾佬	大侾佬	dou hau lau	dou hau lau	15
大筆頭	大笔头	dou piq deu	dou piq deu	16
大腳風	大脚风	dou ciaq fon	dou ciq fon	16
大腳髈	大脚髈	dou ciaq phaon	dou ciq phaon	16
大彭彭	大彭彭	dou ban ban	dou ban ban	16
大戤戤	大戤戤	dou ge ge	dou ge ge	16
大嘴巴	大嘴巴	dou tsyu po	dou tsyu po	16
大嘴䩉	大嘴䩉	dou tsyu bu	dou tsyu bu	16
大天白亮	大天白亮	dou thi baq lian	dou thi baq lian	16
大天亮	大天亮	dou thi lian	dou thi lian	16
大頭殼子	大头壳子	dou deu khoq tsy	dou deu khoq tsy	16
大頭別針	大头别针	dou deu biq cin	dou deu biq cin	16
大頭梅蒜	大头梅蒜	dou deu mei soe	dou deu mei soe	16
大頭朝上	大头朝上	dou deu jiau zaon	dou deu jiau zaon	16
大貨癩𪓿	大货癞𪓿	dou hou la sy	dou hou la sy	17
大面大得	大面大得	dou mi dou taq	dou mi dou taq	17
大胖嘵豬	大胖哓猪	dou phaon gniau tsyu	dou phaon gniau tsyu	17
大推大扳	大推大扳	dou thei dou pae	dou thei dou pae	17
大眼錄索	大眼录索	dou ngae loq soq	dou ngae loq soq	17
大糊其其	大糊其其	dou wu ji ji	dou wu ji ji	17
大襟布衫	大襟布衫	dou cin pu sae	dou cin pu sae	17
萬三	万三	vae sae	vae sae	17
萬生萬死	万生万死	vae san vae shi	vae san vae shi	17
萬寶全書	万宝全书	vae pau dzoe syu	vae pau dzoe syu	17
萬試萬應	万试万应	vae sy vae in	vae sy vae in	17
上頃	上顷	zaon chian	zaon chian	18
上一頃	上一顷	zaon iq chian	zaon iq chian	18
上頃裏	上顷里	zaon chian li	zaon chian li	18
上軛	上轭	zaon aq	zaon aq	18
上底	上底	zaon ti	zaon ti	18
上頭	上头	zaon deu	zaon deu	18
上頂	上顶	zaon ten	zaon ten	18
上落	上落	zaon loq	zaon loq	18
上照	上照	zaon ciau	zaon ciau	18
上路	上路	zaon lu	zaon lu	18
上山襪	上山袜	zaon sae maq	zaon sae maq	18
上半日	上半日	zaon pun gniq	zaon pu gniq	18
上半日頭	上半日头	zaon pun gniq deu	zaon pu gniq deu	18
上燈夜	上灯夜	zaon ten ya	zaon ten ya	18
上點心	上点心	zaon ti shin	zaon ti shin	18
上點心	上点心	zaon te shin	zaon te shin	18
上落先生	上落先生	zaon loq shi san	zaon loq shi san	19
小人	小人	shiau gnin	shiau gnin	19
小書	小书	shiau syu	shiau syu	19
小來	小来	shiau le	shiau le	19
小鬼	小鬼	shiau ciu	shiau ciu	19
小鬼頭	小鬼头	shiau ciu deu	shiau ciu deu	19
小娃	小娃	shiau uae	shiau uae	19
小娃頭	小娃头	shiau uae deu	shiau uae deu	19
小娃婢	小娃婢	shiau uae pi	shiau uae pi	19
小姨	小姨	shiau yi	shiau yi	19
阿姨	阿姨	aq yi	aq yi	19
小頑	小顽	shiau uae	shiau uae	19
小娘	小娘	shiau gnian	shiau gnian	19
小娘婢	小娘婢	shiau gnian pi	shiau gnian pi	19
小娘頭	小娘头	shiau gnian deu	shiau gnian deu	19
娘子	娘子	gnian tsy	gnian tsy	19
小糖	小糖	shiau daon	shiau daon	19
小尐尐	小尐尐	shiau ciq ciq	shiau ciq ciq	20
小牛㹙	小牛㹙	shiau ngeu an	shiau ngeu an	20
小毛頭	小毛头	shiau mau deu	shiau mau deu	20
小毛頭	小毛头	shiau mau dei	shiau mau dei	20
小氣䏘	小气䏘	shiau chi phiq	shiau chi phiq	20
小火輪	小火轮	shiau hou len	shiau hou len	20
小包車	小包车	shiau pau tsho	shiau pau tsho	20
小年夜	小年夜	shiau gni ya	shiau gni ya	20
小舌頭	小舌头	shiau zhiq deu	shiau zhiq deu	20
小阿爸	小阿爸	shiau aq paq	shiau aq paq	20
小羅嗦	小罗嗦	shiau lou sou	shiau lou sou	20
小羅嗦	小罗嗦	shiau lhou sou	shiau lhou sou	20
小腸氣	小肠气	shiau jian chi	shiau jian chi	20
小官人	小官人	shiau kun gnin	shiau ku gnin	20
小郎菜	小郎菜	shiau laon tshe	shiau laon tshe	21
小胡桃	小胡桃	shiau wu dau	shiau wu dau	21
小舢板	小舢板	shiau sae pae	shiau sae pae	21
小熱昏	小热昏	shiau gniq huen	shiau gniq huen	21
小娘蟹	小娘蟹	shiau gnian ha	shiau gnian ha	21
小菜場	小菜场	shiau tshe jian	shiau tshe jian	21
小梅魚	小梅鱼	shiau mei ng	shiau mei ng	21
小棺材	小棺材	shiau kun ze	shiau ku ze	21
小棺材	小棺材	shiau kun dze	shiau ku dze	21
小鯉花	小鲤花	shiau li huo	shiau li huo	21
小八拉子	小八拉子	shiau paq la tsy	shiau paq la tsy	21
小八拉子	小八拉子	shiau paq laq tsy	shiau paq laq tsy	21
小鳥碼子	小鸟码子	shiau tiau mo tsy	shiau tiau mo tsy	21
小貨銅鈿	小货铜钿	shiau hou don di	shiau hou don di	21
小鬼裏氣	小鬼里气	shiau ciu li chi	shiau ciu li chi	21
小格楞敦	小格楞敦	shiau kaq len ten	shiau kaq len ten	22
口風	口风	kheu fon	kheu fon	22
口頭	口头	kheu deu	kheu deu	22
口番	口番	kheu fae	kheu fae	22
口沒煞	口没煞	kheu maq saq	kheu maq saq	22
千層	千层	chi zen	chi zen	22
千層餅	千层饼	chi zen pin	chi zen pin	22
千年藍扮	千年蓝扮	chi gni lae pae	chi gni lae pae	22
千定萬定	千定万定	chi din vae din	chi din vae din	22
千恩萬謝	千恩万谢	chi en vae zhia	chi en vae zhia	22
個	个	kou5	kou5	23
個	个	kun5	ku5	23
個子頭	个子头	kou tsy deu	kou tsy deu	23
凡到	凡到	vae tau	vae tau	23
及味	及味	jiq mi	jiq mi	23
廣橘	广橘	kuaon ciuq	kuaon ciuq	23
廣貨店	广货店	kuaon hou ti	kuaon hou ti	23
門	门	men2	men2	23
門軋	门轧	men gaq	men gaq	23
門枋	门枋	men faon	men faon	23
門鈐	门钤	men jin	men jin	23
門鈕	门钮	men gnieu	men gnieu	23
門栿	门栿	men boq	men boq	23
門桯	门桯	men thin	men thin	23
門檻	门槛	men khae	men khae	24
丫各亂經	丫各乱经	o koq loe cin	o koq loe cin	24
衛生衫	卫生衫	wei sen sae	wei sen sae	24
衛生褲	卫生裤	wei sen khu	wei sen khu	24
子	子	tsy3	tsy3	24
子孔	子孔	tsy khon	tsy khon	24
子孔頭	子孔头	tsy khon deu	tsy khon deu	24
女人頭	女人头	gniu gnin deu	gniu gnin deu	24
叉	叉	tsho1	tsho1	24
叉魚	叉鱼	tsho ng	tsho ng	24
叉木人	叉木人	tsho moq gnin	tsho moq gnin	24
叉手袋	叉手袋	tsho shieu de	tsho shieu de	25
馬嘴	马嘴	mo tsyu	mo tsyu	25
馬達克	马达克	mo daq khaq	mo daq khaq	25
馬屁鬼	马屁鬼	mo phi ciu	mo phi ciu	25
馬藍頭	马蓝头	mo lae deu	mo lae deu	25
馬藍頭	马蓝头	mo lae dei	mo lae dei	25
鄉方	乡方	shian faon	shian faon	25
鄉下人	乡下人	shian gho gnin	shian gho gnin	25
鄉下頭	乡下头	shian gho deu	shian gho deu	25
鄉下佬	乡下佬	shian gho lau	shian gho lau	25
幺麼	幺么	o mo	o mo	25
幺麼皮	幺么皮	o mo bi	o mo bi	25
幺麼爿	幺么爿	o mo bae	o mo bae	25
開市	开市	khe zy	khe zy	26
開年	开年	khe gni	khe gni	26
開傘	开伞	khe sae	khe sae	26
開交	开交	khe ciau	khe ciau	26
開面	开面	khe mi	khe mi	26
開洋	开洋	khe yan	khe yan	26
開筆	开笔	khe piq	khe piq	26
開豁	开豁	khe huaq	khe huaq	26
開火倉	开火仓	khe hou tshaon	khe hou tshaon	27
開面酒	开面酒	khe mi cieu	khe mi cieu	27
開普帽	开普帽	khe phu mau	khe phu mau	27
開庎櫥門	开庎橱门	khe ka dzyu men	khe ka dzyu men	27
井窞	井窞	cin dei	cin dei	27
天井	天井	thi cin	thi cin	27
天日	天日	thi gniq	thi gniq	27
天心	天心	thi shin	thi shin	27
天夜	天夜	thi ya	thi ya	27
天羅	天罗	thi lou	thi lou	27
天蘿	天萝	thi lou	thi lou	27
天亮	天亮	thi lian	thi lian	28
天亮	天亮	thi gnian	thi gnian	28
天亮	天亮	thiq gnian	thiq gnian	28
天亮頭	天亮头	thi gnian deu	thi gnian deu	28
天亮頭	天亮头	thiq gnian deu	thiq gnian deu	28
天家	天家	thi ko	thi ko	28
天菜	天菜	thi tshe	thi tshe	28
天數	天数	thi su	thi su	28
天花板	天花板	thi huo pae	thi huo pae	28
天亮飯	天亮饭	thi lian vae	thi lian vae	28
天亮飯	天亮饭	thi gnian vae	thi gnian vae	28
天亮飯	天亮饭	thiq gnian vae	thiq gnian vae	28
天蘿箲	天萝箲	thi lou shi	thi lou shi	28
天膽地大	天胆地大	thi tae di dou	thi tae di dou	28
天莙薘根	天莙荙根	thi ciun daq ken	thi ciun daq ken	28
元寶籃	元宝篮	gniu pau lae	gniu pau lae	28
無千大萬	无千大万	vu chi da vae	wu chi da vae	28
無千大萬	无千大万	wu chi da vae	wu chi da vae	28
扎	扎	tsaq7	tsaq7	29
扎括	扎括	tsaq kuaq	tsaq kuaq	29
扎面子	扎面子	tsaq mi tsy	tsaq mi tsy	29
廿外	廿外	ne nga	ne nga	29
廿九夜	廿九夜	ne cieu ya	ne cieu ya	29
木	木	moq8	moq8	29
木大	木大	moq dou	moq dou	29
木頭	木头	moq deu	moq deu	29
木家	木家	moq ko	moq ko	29
木馬	木马	moq mo	moq mo	29
木馬	木马	maq mo	maq mo	29
木杮	木杮	moq fi	moq fi	29
木屐	木屐	moq jiq	moq jiq	29
木佬佬	木佬佬	moq lau lau	moq lau lau	30
木老老	木老老	moq lau lau	moq lau lau	30
木𢛔𢛔	木𫹼𫹼	moq ton ton	moq ton ton	30
木篤篤	木笃笃	moq toq toq	moq toq toq	30
木性性	木性性	moq shin shin	moq shin shin	30
木直直	木直直	moq jiq jiq	moq jiq jiq	30
木蓮藤	木莲藤	moq li den	moq li den	30
木倭樹	木倭树	moq ou zyu	moq ou zyu	30
木屑板	木屑板	moq shiq pae	moq shiq pae	30
木屐鞋	木屐鞋	moq jiq gha	moq jiq gha	30
豁出木屐	豁出木屐	huaq tshyuq moq jiq	huaq tshyuq moq jiq	30
木麩麩	木麸麸	moq fu fu	moq fu fu	30
木頭人案	木头人案	moq deu gnin ei	moq deu gnin ei	30
木頭木腦	木头木脑	moq deu moq nau	moq deu moq nau	30
木而覺知	木而觉知	moq er koq tsyu	moq er koq tsyu	30
木知木覺	木知木觉	moq tsyu moq koq	moq tsyu moq koq	31
五事	五事	ng zy	ng zy	31
五更頭	五更头	ng kan deu	ng kan deu	31
五更頭	五更头	ng kan dei	ng kan dei	31
五更機	五更机	ng kan ci	ng kan ci	31
五更雞	五更鸡	ng kan ci	ng kan ci	31
五更曉	五更晓	ng kan shiau	ng kan shiau	31
五花爆裂	五花爆裂	ng huo pau liq	ng huo pau liq	31
支光	支光	tsy kuaon	tsy kuaon	31
不剌	不剌	paq laq	paq laq	31
不剌	不剌	paq la	paq la	31
仄	仄	tsaq7	tsaq7	32
仄楞	仄楞	tsaq len	tsaq len	32
仄格楞敦	仄格楞敦	tsaq kaq len ten	tsaq kaq len ten	32
太公	太公	tha kon	tha kon	32
阿太	阿太	aq tha	aq tha	32
太太	太太	tha tha	tha tha	32
族長太公	族长太公	dzoq cian tha kon	dzoq cian tha kon	32
太婆	太婆	tha bou	tha bou	32
太陰菩薩	太阴菩萨	tha in bu saq	tha in bu saq	32
車子	车子	tsho tsy	tsho tsy	32
車頭	车头	tsho deu	tsho deu	32
車壩	车坝	tsho po	tsho po	32
牙肉	牙肉	ngo gnioq	ngo gnioq	32
牙鬚	牙须	ngo su	ngo su	32
牙盤	牙盘	ngo bun	ngo boe	32
屯隊	屯队	den dei	den dei	33
切麪	切面	chiq mi	chiq mi	33
瓦爿	瓦爿	ngo bae	ngo bae	33
瓦片	瓦片	ngo phi	ngo phi	33
日頭	日头	gniq deu	gniq deu	33
日裏	日里	gniq li	gniq li	33
日腳	日脚	gniq ciaq	gniq ciq	33
日加日	日加日	gniq ko gniq	gniq ko gniq	33
日打日	日打日	gniq tan gniq	gniq tan gniq	33
日長夜大	日长夜大	gniq jian ya dou	gniq jian ya dou	33
中央	中央	tson gnian	tson gnian	34
中央亨	中央亨	tson gnian han	tson gnian han	34
中幫	中帮	tson paon	tson paon	34
中央人	中央人	tson gnian gnin	tson gnian gnin	34
貝母地菜	贝母地菜	pei meu di tshe	pei meu di tshe	34
水	水	syu3	syu3	34
水平	水平	syu bin	syu bin	34
水頭	水头	syu deu	syu deu	34
水頭	水头	syu dei	syu dei	34
水蝦	水虾	syu huo	syu huo	34
水白大蝦	水白大虾	syu baq dou huo	syu baq dou huo	34
水缺	水缺	syu chiuq	syu chiuq	34
水缺頭	水缺头	syu chiuq deu	syu chiuq deu	34
水菱	水菱	syu len	syu len	34
水菱	水菱	syu lin	syu lin	34
水溜	水溜	syu lieu	syu lieu	34
水老鴉	水老鸦	syu lau o	syu lau o	35
水明湯	水明汤	syu min thaon	syu min thaon	35
水塌窞	水塌窞	syu thaq dei	syu thaq dei	35
水底工	水底工	syu ti kon	syu ti kon	35
水帖糕	水帖糕	syu thaq kau	syu thaq kau	35
水胡桃	水胡桃	syu wu dau	syu wu dau	35
水鹹草	水咸草	syu ghae tshau	syu ghae tshau	35
水出爛糟	水出烂糟	syu tshyuq lae tsau	syu tshyuq lae tsau	35
見面鈿	见面钿	ci mi di	ci mi di	35
見大頭鬼	见大头鬼	ci dou deu ciu	ci dou deu ciu	35
手	手	shieu3	shieu3	35
手勁	手劲	shieu jin	shieu jin	35
手板	手板	shieu pae	shieu pae	36
手天爿	手天爿	shieu thi bae	shieu thi bae	36
手板面	手板面	shieu pae mi	shieu pae mi	36
手勢	手势	shieu syu	shieu syu	36
手面	手面	shieu mi	shieu mi	36
手面頂	手面顶	shieu mi ten	shieu mi ten	36
手骨	手骨	shieu kuaq	shieu kuaq	36
手鋦	手锔	shieu jiuq	shieu jiuq	36
鋦頭	锔头	jiuq deu	jiuq deu	36
手天心	手天心	shieu thi shin	shieu thi shin	36
手底心	手底心	shieu ti shin	shieu ti shin	36
手拉車	手拉车	shieu lha tsho	shieu lha tsho	36
手幫子	手帮子	shieu paon tsy	shieu paon tsy	36
手把子	手把子	shieu po tsy	shieu po tsy	36
手把	手把	shieu po	shieu po	36
手掙㨖頭	手挣㨖头	shieu tsan tsy deu	shieu tsan tsy deu	36
牛	牛	ngeu2	ngeu2	36
牛坯	牛坯	ngeu phei	ngeu phei	36
牛頭	牛头	ngeu deu	ngeu deu	36
牛軛	牛轭	ngeu aq	ngeu aq	36
牛娘	牛娘	ngeu gnian	ngeu gnian	36
牛車盤	牛车盘	ngeu tsho bun	ngeu tsho boe	37
牛皮糖	牛皮糖	ngeu bi daon	ngeu bi daon	37
牛草𥳖	牛草𥳖	ngeu tshau bu	ngeu tshau bu	37
毛	毛	mau2	mau2	37
毛頭	毛头	mau deu	mau deu	37
奶花	奶花	na huo	na huo	37
毛豆	毛豆	mau deu	mau deu	37
毛貨	毛货	mau hou	mau hou	37
毛栗	毛栗	mau liq	mau liq	37
毛蚶	毛蚶	mau he	mau hei	37
毛慥	毛慥	mau tshau	mau tshau	37
毛黴	毛霉	mau mei	mau mei	38
毛黴	毛霉	mhau mei	mhau mei	38
毛蟹	毛蟹	mau ha	mau ha	38
毛毛草	毛毛草	mau mau tshau	mau mau tshau	38
毛豆子	毛豆子	mau deu tsy	mau deu tsy	38
毛頭奶花	毛头奶花	mau deu na huo	mau deu na huo	38
毛頭奶花	毛头奶花	mau dei na huo	mau dei na huo	38
毛衣弗動	毛衣弗动	mau iu vaq don	mau iu faq don	38
毛草火性	毛草火性	mau tshau hou shin	mau tshau hou shin	38
毛腳女婿	毛脚女婿	mau ciaq gniu shi	mau ciq gniu shi	38
氣	气	chi5	chi5	38
氣胎	气胎	chi thei	chi thei	38
氣緊	气紧	chi cin	chi cin	38
氣息	气息	chi shiq	chi shiq	38
氣弗過	气弗过	chi vaq kou	chi faq kou	39
氣急大吼	气急大吼	chi ciq da heu	chi ciq da heu	39
長	长	jian2	jian2	39
長大	长大	jian dou	jian dou	39
長年	长年	jian gni	jian gni	39
長遠	长远	jian yu	jian yu	39
長麪	长面	jian mi	jian mi	39
長壽麪	长寿面	jian zhieu mi	jian zhieu mi	39
長臍	长脐	jian ji	jian ji	39
長遭	长遭	jian tsau	jian tsau	40
長股短	长股短	jian ku toe	jian ku toe	40
長曼曼	长曼曼	jian ma ma	jian ma ma	40
長𢿞𢿞	长𢿞𢿞	jian liau liau	jian liau liau	40
長𢿞條	长𢿞条	jian liau diau	jian liau diau	40
仍歸	仍归	jin kuei	jin kuei	40
爪	爪	tsau3	tsau3	40
反向	反向	fae shian	fae shian	40
反使	反使	fae sy	fae sy	40
反梢	反梢	fae sau	fae sau	40
介	介	ka5	ka5	40
介果	介果	ka kou	ka kou	41
介果	介果	ka kun	ka ku	41
從直	从直	dzon jiq	dzon jiq	41
今末	今末	ci maq	ci maq	41
分	分	ven6	ven6	41
分頭	分头	fen deu	fen deu	41
分歲	分岁	fen syu	fen syu	41
分眼分榫	分眼分榫	fen ngae fen syun	fen ngae fen syun	41
月亮菩薩	月亮菩萨	yuq lian bu saq	yuq lian bu saq	42
風	风	fon5	fon5	42
風作爛氣	风作烂气	fon tsoq lae chi	fon tsoq lae chi	42
風氣勃勃	风气勃勃	fon chi baq baq	fon chi baq baq	42
風手	风手	fon shieu	fon shieu	42
瘋手	疯手	fon shieu	fon shieu	42
風火	风火	fon hou	fon hou	42
風水	风水	fon syu	fon syu	42
風爐	风炉	fon lou	fon lou	42
風箱	风箱	fon shian	fon shian	42
風篷	风篷	fon bon	fon bon	42
